complaint,category
garbage collection delayed in hostel which needs urgent attention,Hostel
insufficient cleaning staff in hostel since last week,Hostel
laundry machines not functioning reported multiple times already,Hostel
garbage collection delayed in hostel,Hostel
hostel room lights not working reported multiple times already,Hostel
hostel room lights not working reported multiple times already,Hostel
insufficient cleaning staff in hostel reported multiple times already,Hostel
room maintenance not completed causing inconvenience to students,Hostel
laundry machines not functioning which needs urgent attention,Hostel
insufficient cleaning staff in hostel and it is affecting students,Hostel
laundry machines not functioning causing inconvenience to students,Hostel
insufficient cleaning staff in hostel,Hostel
hostel room lights not working causing inconvenience to students,Hostel
insufficient cleaning staff in hostel reported multiple times already,Hostel
noise disturbance during late hours and it is affecting students,Hostel
pest problems in hostel rooms reported multiple times already,Hostel
insufficient cleaning staff in hostel,Hostel
insufficient cleaning staff in hostel which needs urgent attention,Hostel
hostel elevator not working since last week,Hostel
cleanliness issues in hostel corridors which needs urgent attention,Hostel
noise disturbance during late hours,Hostel
room maintenance not completed which needs urgent attention,Hostel
insufficient cleaning staff in hostel and it is affecting students,Hostel
room maintenance not completed which needs urgent attention,Hostel
pest problems in hostel rooms which needs urgent attention,Hostel
hostel room lights not working reported multiple times already,Hostel
hostel room lights not working,Hostel
insufficient cleaning staff in hostel and it is affecting students,Hostel
laundry machines not functioning reported multiple times already,Hostel
insufficient cleaning staff in hostel,Hostel
laundry machines not functioning causing inconvenience to students,Hostel
water supply problem in hostel bathroom since last week,Hostel
laundry machines not functioning,Hostel
noise disturbance during late hours and it is affecting students,Hostel
hostel room lights not working since last week,Hostel
hostel room lights not working and it is affecting students,Hostel
vegetarian options not available regularly causing inconvenience to students,Food / Mess
stale food served in mess causing inconvenience to students,Food / Mess
vegetarian options not available regularly which needs urgent attention,Food / Mess
food portion size too small reported multiple times already,Food / Mess
mess kitchen cleanliness concerns which needs urgent attention,Food / Mess
limited menu options in mess,Food / Mess
mess timing inconvenient for students and it is affecting students,Food / Mess
mess kitchen cleanliness concerns which needs urgent attention,Food / Mess
mess food served cold frequently which needs urgent attention,Food / Mess
food portion size too small since last week,Food / Mess
mess timing inconvenient for students causing inconvenience to students,Food / Mess
food portion size too small since last week,Food / Mess
mess kitchen cleanliness concerns reported multiple times already,Food / Mess
mess kitchen cleanliness concerns,Food / Mess
vegetarian options not available regularly reported multiple times already,Food / Mess
limited menu options in mess,Food / Mess
food portion size too small which needs urgent attention,Food / Mess
vegetarian options not available regularly reported multiple times already,Food / Mess
food quality in mess has deteriorated and it is affecting students,Food / Mess
limited menu options in mess which needs urgent attention,Food / Mess
mess food served cold frequently which needs urgent attention,Food / Mess
vegetarian options not available regularly which needs urgent attention,Food / Mess
mess food served cold frequently which needs urgent attention,Food / Mess
limited menu options in mess reported multiple times already,Food / Mess
food quality in mess has deteriorated,Food / Mess
vegetarian options not available regularly and it is affecting students,Food / Mess
mess staff behavior unprofessional,Food / Mess
mess staff behavior unprofessional reported multiple times already,Food / Mess
stale food served in mess,Food / Mess
food portion size too small since last week,Food / Mess
mess food served cold frequently since last week,Food / Mess
mess kitchen cleanliness concerns,Food / Mess
mess food served cold frequently and it is affecting students,Food / Mess
stale food served in mess causing inconvenience to students,Food / Mess
mess food served cold frequently since last week,Food / Mess
mess food served cold frequently which needs urgent attention,Food / Mess
food portion size too small,Food / Mess
limited menu options in mess causing inconvenience to students,Food / Mess
mess food served cold frequently since last week,Food / Mess
mess timing inconvenient for students causing inconvenience to students,Food / Mess
mess timing inconvenient for students reported multiple times already,Food / Mess
stale food served in mess reported multiple times already,Food / Mess
mess timing inconvenient for students causing inconvenience to students,Food / Mess
stale food served in mess which needs urgent attention,Food / Mess
food quality in mess has deteriorated and it is affecting students,Food / Mess
food portion size too small causing inconvenience to students,Food / Mess
vegetarian options not available regularly which needs urgent attention,Food / Mess
food portion size too small causing inconvenience to students,Food / Mess
stale food served in mess and it is affecting students,Food / Mess
mess kitchen cleanliness concerns since last week,Food / Mess
mess kitchen cleanliness concerns causing inconvenience to students,Food / Mess
mess food served cold frequently which needs urgent attention,Food / Mess
food portion size too small causing inconvenience to students,Food / Mess
food portion size too small causing inconvenience to students,Food / Mess
stale food served in mess,Food / Mess
vegetarian options not available regularly reported multiple times already,Food / Mess
limited menu options in mess reported multiple times already,Food / Mess
mess hygiene standards are poor which needs urgent attention,Food / Mess
vegetarian options not available regularly since last week,Food / Mess
mess timing inconvenient for students causing inconvenience to students,Food / Mess
vegetarian options not available regularly and it is affecting students,Food / Mess
food portion size too small and it is affecting students,Food / Mess
food portion size too small causing inconvenience to students,Food / Mess
mess food served cold frequently causing inconvenience to students,Food / Mess
mess kitchen cleanliness concerns since last week,Food / Mess
mess timing inconvenient for students reported multiple times already,Food / Mess
food quality in mess has deteriorated reported multiple times already,Food / Mess
mess food served cold frequently reported multiple times already,Food / Mess
vegetarian options not available regularly causing inconvenience to students,Food / Mess
limited menu options in mess which needs urgent attention,Food / Mess
unable to access university portal via wifi and it is affecting students,Internet
wifi authentication failing repeatedly since last week,Internet
internet not working in academic block causing inconvenience to students,Internet
wifi extremely slow in hostel and it is affecting students,Internet
internet not working in academic block reported multiple times already,Internet
internet disconnects frequently reported multiple times already,Internet
wifi router not functioning which needs urgent attention,Internet
wifi extremely slow in hostel,Internet
internet not working in academic block reported multiple times already,Internet
unable to access university portal via wifi,Internet
internet disconnects frequently causing inconvenience to students,Internet
internet not working in academic block causing inconvenience to students,Internet
unable to access university portal via wifi,Internet
wifi router not functioning since last week,Internet
wifi authentication failing repeatedly reported multiple times already,Internet
campus wifi signal very weak,Internet
unable to access university portal via wifi causing inconvenience to students,Internet
wifi extremely slow in hostel which needs urgent attention,Internet
wifi router not functioning since last week,Internet
campus wifi signal very weak and it is affecting students,Internet
wifi extremely slow in hostel reported multiple times already,Internet
unstable campus internet connection reported multiple times already,Internet
network outage during online lecture causing inconvenience to students,Internet
wifi authentication failing repeatedly reported multiple times already,Internet
unable to access university portal via wifi,Internet
internet disconnects frequently which needs urgent attention,Internet
wifi router not functioning which needs urgent attention,Internet
internet not working in academic block which needs urgent attention,Internet
campus wifi signal very weak,Internet
internet disconnects frequently,Internet
internet not working in academic block reported multiple times already,Internet
wifi router not functioning since last week,Internet
wifi authentication failing repeatedly and it is affecting students,Internet
slow internet speed affecting assignments causing inconvenience to students,Internet
campus wifi signal very weak,Internet
campus wifi signal very weak and it is affecting students,Internet
wifi router not functioning since last week,Internet
wifi router not functioning which needs urgent attention,Internet
internet not working in academic block and it is affecting students,Internet
internet not working in academic block reported multiple times already,Internet
unable to access university portal via wifi reported multiple times already,Internet
slow internet speed affecting assignments and it is affecting students,Internet
network outage during online lecture reported multiple times already,Internet
internet disconnects frequently since last week,Internet
unable to access university portal via wifi and it is affecting students,Internet
unstable campus internet connection reported multiple times already,Internet
wifi extremely slow in hostel,Internet
campus wifi signal very weak causing inconvenience to students,Internet
slow internet speed affecting assignments,Internet
campus wifi signal very weak reported multiple times already,Internet
wifi authentication failing repeatedly reported multiple times already,Internet
network outage during online lecture since last week,Internet
wifi extremely slow in hostel since last week,Internet
wifi extremely slow in hostel causing inconvenience to students,Internet
slow internet speed affecting assignments reported multiple times already,Internet
internet not working in academic block causing inconvenience to students,Internet
slow internet speed affecting assignments and it is affecting students,Internet
campus wifi signal very weak causing inconvenience to students,Internet
campus wifi signal very weak causing inconvenience to students,Internet
unable to access university portal via wifi which needs urgent attention,Internet
wifi router not functioning,Internet
wifi extremely slow in hostel reported multiple times already,Internet
wifi router not functioning causing inconvenience to students,Internet
internet disconnects frequently reported multiple times already,Internet
wifi authentication failing repeatedly which needs urgent attention,Internet
unstable campus internet connection,Internet
wifi extremely slow in hostel since last week,Internet
wifi authentication failing repeatedly,Internet
internet not working in academic block which needs urgent attention,Internet
unable to access university portal via wifi reported multiple times already,Internet
parking area poorly maintained causing inconvenience to students,Infrastructure
classroom projector not functioning since last week,Infrastructure
water leakage in academic building reported multiple times already,Infrastructure
water leakage in academic building and it is affecting students,Infrastructure
classroom projector not functioning causing inconvenience to students,Infrastructure
broken chairs in lecture hall,Infrastructure
water leakage in academic building,Infrastructure
poor lighting conditions in lecture hall,Infrastructure
classroom whiteboard damaged which needs urgent attention,Infrastructure
classroom projector not functioning and it is affecting students,Infrastructure
parking area poorly maintained which needs urgent attention,Infrastructure
air conditioning not working in classroom,Infrastructure
ceiling fan not working in classroom causing inconvenience to students,Infrastructure
parking area poorly maintained,Infrastructure
stairs railing damaged reported multiple times already,Infrastructure
classroom projector not functioning,Infrastructure
broken chairs in lecture hall reported multiple times already,Infrastructure
ceiling fan not working in classroom,Infrastructure
damaged classroom doors since last week,Infrastructure
classroom projector not functioning reported multiple times already,Infrastructure
stairs railing damaged which needs urgent attention,Infrastructure
classroom whiteboard damaged reported multiple times already,Infrastructure
water leakage in academic building reported multiple times already,Infrastructure
water leakage in academic building causing inconvenience to students,Infrastructure
stairs railing damaged,Infrastructure
classroom whiteboard damaged causing inconvenience to students,Infrastructure
poor lighting conditions in lecture hall and it is affecting students,Infrastructure
poor lighting conditions in lecture hall and it is affecting students,Infrastructure
damaged classroom doors since last week,Infrastructure
poor lighting conditions in lecture hall,Infrastructure
poor lighting conditions in lecture hall reported multiple times already,Infrastructure
classroom projector not functioning since last week,Infrastructure
air conditioning not working in classroom,Infrastructure
classroom projector not functioning which needs urgent attention,Infrastructure
classroom whiteboard damaged reported multiple times already,Infrastructure
parking area poorly maintained reported multiple times already,Infrastructure
water leakage in academic building,Infrastructure
classroom whiteboard damaged which needs urgent attention,Infrastructure
classroom projector not functioning causing inconvenience to students,Infrastructure
classroom projector not functioning and it is affecting students,Infrastructure
classroom whiteboard damaged which needs urgent attention,Infrastructure
stairs railing damaged reported multiple times already,Infrastructure
poor lighting conditions in lecture hall reported multiple times already,Infrastructure
water leakage in academic building and it is affecting students,Infrastructure
water leakage in academic building,Infrastructure
ceiling fan not working in classroom reported multiple times already,Infrastructure
broken chairs in lecture hall reported multiple times already,Infrastructure
damaged classroom doors causing inconvenience to students,Infrastructure
air conditioning not working in classroom,Infrastructure
poor lighting conditions in lecture hall,Infrastructure
stairs railing damaged causing inconvenience to students,Infrastructure
damaged classroom doors since last week,Infrastructure
parking area poorly maintained,Infrastructure
poor lighting conditions in lecture hall since last week,Infrastructure
air conditioning not working in classroom and it is affecting students,Infrastructure
parking area poorly maintained since last week,Infrastructure
air conditioning not working in classroom causing inconvenience to students,Infrastructure
classroom whiteboard damaged,Infrastructure
water leakage in academic building which needs urgent attention,Infrastructure
water leakage in academic building since last week,Infrastructure
ceiling fan not working in classroom and it is affecting students,Infrastructure
stairs railing damaged since last week,Infrastructure
water leakage in academic building,Infrastructure
air conditioning not working in classroom which needs urgent attention,Infrastructure
water leakage in academic building which needs urgent attention,Infrastructure
broken chairs in lecture hall and it is affecting students,Infrastructure
water leakage in academic building reported multiple times already,Infrastructure
classroom projector not functioning causing inconvenience to students,Infrastructure
broken chairs in lecture hall reported multiple times already,Infrastructure
classroom projector not functioning and it is affecting students,Infrastructure
lab power sockets not working which needs urgent attention,Laboratory
lab experiment materials unavailable since last week,Laboratory
lab network connection failing since last week,Laboratory
laboratory equipment damaged reported multiple times already,Laboratory
outdated software installed in lab since last week,Laboratory
outdated software installed in lab causing inconvenience to students,Laboratory
outdated software installed in lab since last week,Laboratory
lab computers not working,Laboratory
lab power sockets not working since last week,Laboratory
lab experiment materials unavailable reported multiple times already,Laboratory
lab computers not working reported multiple times already,Laboratory
laboratory equipment damaged which needs urgent attention,Laboratory
lab assistant unavailable reported multiple times already,Laboratory
lab network connection failing since last week,Laboratory
lab computers not working which needs urgent attention,Laboratory
insufficient lab systems for students reported multiple times already,Laboratory
insufficient lab systems for students,Laboratory
outdated software installed in lab since last week,Laboratory
lab computers not working and it is affecting students,Laboratory
lab network connection failing causing inconvenience to students,Laboratory
software missing on lab computers reported multiple times already,Laboratory
lab network connection failing which needs urgent attention,Laboratory
lab assistant unavailable causing inconvenience to students,Laboratory
lab experiment materials unavailable which needs urgent attention,Laboratory
lab computers not working,Laboratory
insufficient lab systems for students causing inconvenience to students,Laboratory
software missing on lab computers,Laboratory
lab power sockets not working since last week,Laboratory
lab power sockets not working causing inconvenience to students,Laboratory
insufficient lab systems for students reported multiple times already,Laboratory
software missing on lab computers which needs urgent attention,Laboratory
lab experiment materials unavailable reported multiple times already,Laboratory
laboratory equipment damaged reported multiple times already,Laboratory
lab computers not working causing inconvenience to students,Laboratory
lab assistant unavailable reported multiple times already,Laboratory
outdated software installed in lab reported multiple times already,Laboratory
lab computers not working causing inconvenience to students,Laboratory
software missing on lab computers,Laboratory
printer not working in lab which needs urgent attention,Laboratory
laboratory equipment damaged and it is affecting students,Laboratory
laboratory equipment damaged reported multiple times already,Laboratory
printer not working in lab reported multiple times already,Laboratory
lab power sockets not working reported multiple times already,Laboratory
outdated software installed in lab since last week,Laboratory
lab assistant unavailable reported multiple times already,Laboratory
printer not working in lab which needs urgent attention,Laboratory
insufficient lab systems for students since last week,Laboratory
printer not working in lab causing inconvenience to students,Laboratory
printer not working in lab since last week,Laboratory
software missing on lab computers and it is affecting students,Laboratory
printer not working in lab since last week,Laboratory
lab network connection failing and it is affecting students,Laboratory
laboratory equipment damaged causing inconvenience to students,Laboratory
lab power sockets not working reported multiple times already,Laboratory
printer not working in lab reported multiple times already,Laboratory
laboratory equipment damaged since last week,Laboratory
outdated software installed in lab since last week,Laboratory
lab power sockets not working since last week,Laboratory
lab power sockets not working reported multiple times already,Laboratory
insufficient lab systems for students reported multiple times already,Laboratory
lab assistant unavailable,Laboratory
lab computers not working,Laboratory
printer not working in lab causing inconvenience to students,Laboratory
insufficient lab systems for students which needs urgent attention,Laboratory
laboratory equipment damaged,Laboratory
insufficient lab systems for students reported multiple times already,Laboratory
lab computers not working since last week,Laboratory
outdated software installed in lab which needs urgent attention,Laboratory
laboratory equipment damaged reported multiple times already,Laboratory
laboratory equipment damaged and it is affecting students,Laboratory
air conditioning not working in library and it is affecting students,Library
library wifi not working and it is affecting students,Library
study tables damaged in library causing inconvenience to students,Library
books not available in catalog,Library
library closing time too early which needs urgent attention,Library
books not available in catalog since last week,Library
library closing time too early which needs urgent attention,Library
library closing time too early,Library
library wifi not working causing inconvenience to students,Library
books not available in catalog which needs urgent attention,Library
books not available in catalog reported multiple times already,Library
library too noisy during study hours causing inconvenience to students,Library
study tables damaged in library since last week,Library
library computers very slow which needs urgent attention,Library
library wifi not working since last week,Library
books not available in catalog since last week,Library
air conditioning not working in library and it is affecting students,Library
library closing time too early,Library
air conditioning not working in library which needs urgent attention,Library
insufficient power outlets in library which needs urgent attention,Library
library computers very slow,Library
library closing time too early and it is affecting students,Library
insufficient power outlets in library which needs urgent attention,Library
library too noisy during study hours which needs urgent attention,Library
library wifi not working which needs urgent attention,Library
library closing time too early causing inconvenience to students,Library
air conditioning not working in library and it is affecting students,Library
study tables damaged in library,Library
library too noisy during study hours reported multiple times already,Library
library wifi not working which needs urgent attention,Library
library too noisy during study hours causing inconvenience to students,Library
books not available in catalog and it is affecting students,Library
library wifi not working which needs urgent attention,Library
library database access issues reported multiple times already,Library
library too noisy during study hours,Library
insufficient power outlets in library,Library
library wifi not working causing inconvenience to students,Library
library database access issues which needs urgent attention,Library
insufficient seating in library reported multiple times already,Library
library closing time too early causing inconvenience to students,Library
library wifi not working and it is affecting students,Library
library closing time too early which needs urgent attention,Library
insufficient seating in library causing inconvenience to students,Library
library computers very slow,Library
library database access issues causing inconvenience to students,Library
library computers very slow since last week,Library
library computers very slow since last week,Library
library database access issues reported multiple times already,Library
study tables damaged in library reported multiple times already,Library
library closing time too early,Library
library closing time too early and it is affecting students,Library
library too noisy during study hours and it is affecting students,Library
library database access issues,Library
library closing time too early reported multiple times already,Library
air conditioning not working in library which needs urgent attention,Library
library computers very slow reported multiple times already,Library
library wifi not working which needs urgent attention,Library
library closing time too early which needs urgent attention,Library
library too noisy during study hours and it is affecting students,Library
books not available in catalog since last week,Library
library computers very slow,Library
library wifi not working,Library
library database access issues which needs urgent attention,Library
air conditioning not working in library and it is affecting students,Library
library closing time too early since last week,Library
library database access issues since last week,Library
study tables damaged in library since last week,Library
study tables damaged in library reported multiple times already,Library
library database access issues and it is affecting students,Library
library closing time too early since last week,Library
bus driver skipping stops,Transport
bus air conditioning not working,Transport
transport schedule inconvenient reported multiple times already,Transport
transport schedule inconvenient causing inconvenience to students,Transport
overcrowded campus buses causing inconvenience to students,Transport
transport timing conflicts with lectures causing inconvenience to students,Transport
bus stop shelters damaged causing inconvenience to students,Transport
transport service insufficient and it is affecting students,Transport
transport schedule inconvenient which needs urgent attention,Transport
bus route coverage limited since last week,Transport
transport schedule inconvenient reported multiple times already,Transport
bus driver skipping stops,Transport
bus breakdown during commute and it is affecting students,Transport
transport schedule inconvenient,Transport
bus stop shelters damaged,Transport
transport service insufficient,Transport
bus driver skipping stops,Transport
transport timing conflicts with lectures causing inconvenience to students,Transport
transport timing conflicts with lectures since last week,Transport
transport timing conflicts with lectures and it is affecting students,Transport
overcrowded campus buses,Transport
bus breakdown during commute causing inconvenience to students,Transport
bus stop shelters damaged reported multiple times already,Transport
overcrowded campus buses causing inconvenience to students,Transport
bus air conditioning not working,Transport
bus driver skipping stops,Transport
bus breakdown during commute which needs urgent attention,Transport
transport timing conflicts with lectures reported multiple times already,Transport
bus air conditioning not working reported multiple times already,Transport
bus stop shelters damaged,Transport
bus driver skipping stops reported multiple times already,Transport
bus arriving late every morning,Transport
bus arriving late every morning reported multiple times already,Transport
bus arriving late every morning and it is affecting students,Transport
bus arriving late every morning which needs urgent attention,Transport
bus driver skipping stops which needs urgent attention,Transport
bus breakdown during commute since last week,Transport
bus arriving late every morning since last week,Transport
transport schedule inconvenient,Transport
overcrowded campus buses since last week,Transport
transport service insufficient,Transport
bus driver skipping stops and it is affecting students,Transport
bus driver skipping stops causing inconvenience to students,Transport
bus air conditioning not working causing inconvenience to students,Transport
transport schedule inconvenient since last week,Transport
transport schedule inconvenient causing inconvenience to students,Transport
transport service insufficient reported multiple times already,Transport
transport schedule inconvenient,Transport
bus stop shelters damaged since last week,Transport
transport timing conflicts with lectures causing inconvenience to students,Transport
overcrowded campus buses,Transport
bus route coverage limited and it is affecting students,Transport
bus air conditioning not working causing inconvenience to students,Transport
bus breakdown during commute and it is affecting students,Transport
transport timing conflicts with lectures,Transport
transport service insufficient since last week,Transport
bus route coverage limited causing inconvenience to students,Transport
bus arriving late every morning causing inconvenience to students,Transport
bus air conditioning not working reported multiple times already,Transport
bus arriving late every morning and it is affecting students,Transport
bus breakdown during commute which needs urgent attention,Transport
transport schedule inconvenient,Transport
transport timing conflicts with lectures and it is affecting students,Transport
bus stop shelters damaged causing inconvenience to students,Transport
bus arriving late every morning and it is affecting students,Transport
transport schedule inconvenient causing inconvenience to students,Transport
bus arriving late every morning causing inconvenience to students,Transport
transport timing conflicts with lectures causing inconvenience to students,Transport
overcrowded campus buses causing inconvenience to students,Transport
overcrowded campus buses reported multiple times already,Transport
campus restroom cleanliness issues,Facilities
gym equipment not functioning since last week,Facilities
recreation area lighting insufficient which needs urgent attention,Facilities
recreation area lighting insufficient,Facilities
campus garden poorly maintained causing inconvenience to students,Facilities
common room facilities unavailable since last week,Facilities
campus restroom cleanliness issues which needs urgent attention,Facilities
drinking water stations not working causing inconvenience to students,Facilities
drinking water stations not working and it is affecting students,Facilities
campus restroom cleanliness issues and it is affecting students,Facilities
sports facilities poorly maintained causing inconvenience to students,Facilities
gym equipment not functioning and it is affecting students,Facilities
student lounge overcrowded causing inconvenience to students,Facilities
campus garden poorly maintained reported multiple times already,Facilities
campus vending machines broken and it is affecting students,Facilities
sports facilities poorly maintained which needs urgent attention,Facilities
campus vending machines broken which needs urgent attention,Facilities
campus seating areas damaged which needs urgent attention,Facilities
student lounge overcrowded and it is affecting students,Facilities
student lounge overcrowded which needs urgent attention,Facilities
campus seating areas damaged,Facilities
recreation area lighting insufficient reported multiple times already,Facilities
gym equipment not functioning which needs urgent attention,Facilities
campus restroom cleanliness issues and it is affecting students,Facilities
campus restroom cleanliness issues and it is affecting students,Facilities
campus restroom cleanliness issues and it is affecting students,Facilities
student lounge overcrowded causing inconvenience to students,Facilities
campus restroom cleanliness issues,Facilities
gym equipment not functioning causing inconvenience to students,Facilities
common room facilities unavailable reported multiple times already,Facilities
recreation area lighting insufficient since last week,Facilities
sports facilities poorly maintained causing inconvenience to students,Facilities
common room facilities unavailable causing inconvenience to students,Facilities
gym equipment not functioning causing inconvenience to students,Facilities
campus restroom cleanliness issues causing inconvenience to students,Facilities
gym equipment not functioning reported multiple times already,Facilities
campus garden poorly maintained,Facilities
student lounge overcrowded,Facilities
drinking water stations not working which needs urgent attention,Facilities
campus seating areas damaged and it is affecting students,Facilities
drinking water stations not working and it is affecting students,Facilities
recreation area lighting insufficient causing inconvenience to students,Facilities
campus vending machines broken since last week,Facilities
drinking water stations not working causing inconvenience to students,Facilities
recreation area lighting insufficient,Facilities
drinking water stations not working reported multiple times already,Facilities
campus vending machines broken and it is affecting students,Facilities
drinking water stations not working causing inconvenience to students,Facilities
sports facilities poorly maintained which needs urgent attention,Facilities
drinking water stations not working causing inconvenience to students,Facilities
common room facilities unavailable and it is affecting students,Facilities
drinking water stations not working and it is affecting students,Facilities
campus vending machines broken which needs urgent attention,Facilities
campus seating areas damaged since last week,Facilities
gym equipment not functioning and it is affecting students,Facilities
common room facilities unavailable reported multiple times already,Facilities
common room facilities unavailable and it is affecting students,Facilities
campus seating areas damaged since last week,Facilities
campus seating areas damaged,Facilities
common room facilities unavailable reported multiple times already,Facilities
campus seating areas damaged and it is affecting students,Facilities
recreation area lighting insufficient,Facilities
sports facilities poorly maintained which needs urgent attention,Facilities
campus seating areas damaged,Facilities
campus vending machines broken since last week,Facilities
campus seating areas damaged reported multiple times already,Facilities
recreation area lighting insufficient,Facilities
gym equipment not functioning since last week,Facilities
campus restroom cleanliness issues which needs urgent attention,Facilities
campus restroom cleanliness issues since last week,Facilities
administrative office not responding which needs urgent attention,Administration
incorrect student information on portal causing inconvenience to students,Administration
administrative staff unresponsive and it is affecting students,Administration
certificate request processing slow,Administration
scholarship processing delay,Administration
administrative staff unresponsive reported multiple times already,Administration
scholarship processing delay which needs urgent attention,Administration
delay in issuing official documents reported multiple times already,Administration
administrative office not responding since last week,Administration
administrative office not responding since last week,Administration
administrative staff unresponsive and it is affecting students,Administration
fee payment portal malfunctioning since last week,Administration
administrative staff unresponsive causing inconvenience to students,Administration
long queues in administration office which needs urgent attention,Administration
fee payment portal malfunctioning,Administration
fee payment portal malfunctioning reported multiple times already,Administration
administrative staff unresponsive reported multiple times already,Administration
administrative staff unresponsive causing inconvenience to students,Administration
ID card printing delay since last week,Administration
long queues in administration office which needs urgent attention,Administration
admission office not responding which needs urgent attention,Administration
certificate request processing slow,Administration
certificate request processing slow,Administration
administrative staff unresponsive which needs urgent attention,Administration
incorrect student information on portal,Administration
long queues in administration office and it is affecting students,Administration
admission office not responding and it is affecting students,Administration
certificate request processing slow reported multiple times already,Administration
long queues in administration office reported multiple times already,Administration
incorrect student information on portal causing inconvenience to students,Administration
administrative staff unresponsive since last week,Administration
